Session,Date of Measurement,Sample ID,Temperature,δ13C,δ13C standard deviation,δ18O,δ18O standard deviation,δ47,δ47 standard deviation,Δ47,Δ47 standard error,δ48,δ48 standard deviation,Δ48,Δ48 standard deviation,δ49,δ49 standard deviation,Δ49,Δ49 standard deviation
n/a,"mm/dd/yy, time",n/a,°C,"‰, VPDB",‰,"‰, VPDB",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰
1,8-30-21 11:42 AM,BOC_hg,1000,-10.48,0.01,-1.90,0.02,-3.508,0.038,-0.843,0.009,8.285,0.048,0.381,0.055,-0.383,0.712,-1.380,0.675
1,8-31-21 11:53 AM,EBOC_25degC,25,-10.67,0.01,38.19,0.01,38.269,0.025,0.058,0.005,98.776,0.136,7.663,0.112,-10.947,0.481,-86.601,0.421
2,1-6-22 1:22 PM,BOC_25degC,25,-10.65,0.00,-1.03,0.01,-1.931,0.018,0.002,0.007,10.544,0.098,0.872,0.097,-0.411,0.603,-2.984,0.610
2,1-7-22 11:34 AM,EBOC_25degC,25,-10.67,0.00,38.47,0.00,38.525,0.019,0.038,0.005,98.950,0.088,7.282,0.078,-11.978,0.515,-88.045,0.481
2,1-10-22 11:24 AM,BOC_25degC,25,-10.51,0.00,-0.84,0.00,-1.598,0.020,0.009,0.007,10.925,0.051,0.867,0.054,-0.441,0.498,-3.530,0.501
2,1-11-22 11:32 AM,BOC_hg,1000,-10.72,0.00,-1.72,0.01,-3.527,0.028,-0.822,0.008,8.664,0.095,0.387,0.094,-0.725,0.654,-1.853,0.660
2,1-14-22 10:46 AM,EBOC_hg,1000,-10.22,0.00,43.29,0.01,43.038,0.022,-0.801,0.005,109.627,0.127,7.703,0.106,-14.861,0.675,-99.491,0.624
2,1-19-22 11:16 AM,EBOC_25degC,25,-10.89,0.00,37.95,0.01,37.798,0.030,0.064,0.008,97.732,0.204,7.169,0.175,-12.032,1.009,-86.983,0.949
2,1-20-22 11:27 AM,BOC_25degC,25,-10.88,0.00,-1.50,0.01,-2.609,0.018,0.029,0.007,9.541,0.071,0.816,0.063,-1.062,0.867,-2.464,0.877
2,1-21-22 2:52 PM,EBOC_25degC,25,-10.57,0.00,37.89,0.01,38.056,0.025,0.060,0.007,97.557,0.099,7.131,0.088,-12.955,0.876,-88.021,0.816
