DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
163,4.376048512,0.063896169,-0.440820883,0.194389163,85.09678746,11.01817383,3.885038703,124.3727599,115.2665799,130.9623025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,4.416462333,0.045283711,-0.644873849,0.159776552,100,0,0,125.8961411,115.7001883,131.4234948,,,,,-1.42,0.11,12.65600851,277.1166799,43643.90187,1.396206762,552.9625148,957.691113,1089.23659,98.60379324,73.1813981,1252.644333,,9964.597319,2.342584731,12.83520666,281.0407398,44262.0386,14.15978012,560.7943987,971.2508597,1104.660559,74.21780078,1270.372174,,10105.69695,2.375758916,906.5547637,19848.34921,3125344.958,39596.95827,68601.47488,78015.89515,70.627182,5240.925992,89770.00302,,713720.3782,167.774248
175,4.490996521,0.053214969,-0.619045541,0.124386172,100,0,-1.67E-15,127.3991079,116.4036248,132.0468462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,4.437874369,0.041864486,-0.55195622,0.224903174,95.23573501,0,4.764264994,129.9298715,118.1200712,133.7740581,,,,,,,14.11210706,262.7984211,41754.30305,1.537916339,577.3883272,802.2211162,948.8575425,98.46208366,85.19956922,866.804024,,9812.53815,2.176549669,14.32753625,266.8963967,42391.7058,15.61949968,586.412636,814.7671906,963.6721883,86.53091829,880.3275741,,9965.811752,2.210549111,938.5530448,17124.3682,2776950.89,37538.49236,52124.11723,61753.08093,64.05542881,5540.338789,56453.85235,,638331.5392,141.5847882
187,2.657907514,0.069876204,-0.759518856,0.181796641,60.61720317,21.67326383,17.709533,130.204397,126.4555583,133.8494413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2.637219276,0.033138881,-0.055956257,0.107500328,43.22350129,29.06938091,27.7071178,130.6830195,126.8794244,134.1545197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2.972439421,0.042793248,-0.388150753,0.109532374,,,,130.9276139,126.9340942,134.7988271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,3.298946031,0.035060268,-0.248972907,0.138472886,63.14561399,15.95603941,20.8983466,131.2194268,127.1109842,135.4413888,,,,,,,12.3724483,273.5348327,29138.37216,3.332794489,189.3934312,803.8247494,746.9207411,96.66720551,322.1367242,899.5545505,,7471.2045,1.896307634,12.79739731,282.9640445,30139.17024,34.47700868,195.9245913,831.5450495,772.6736541,333.2425405,930.5593503,,7728.772065,1.961681644,372.5979616,8208.702512,877506.0367,5681.585365,24113.22104,22410.43498,29.00525279,9666.209727,26999.05971,,224189.8639,56.90340024
213,3.239324353,0.066381038,-0.43906108,0.087250451,,,,131.5310599,127.2877192,135.8982753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2.968417052,0.145618555,-0.950667345,0.652816466,58.68827524,15.71298864,25.59873612,131.7466232,127.4015154,136.1539562,,,,,,,,275.8772538,36721.01916,2.944503422,290.3034654,212.1275016,672.1567241,97.05549658,309.7302939,1212.395972,,6840.021518,2.121728748,8.035952285,253.2464575,37742.84331,30.33909305,405.7446064,569.8755918,744.0363795,293.8491919,1483.333292,2.145912083,7167.28848,2.130753836,,9386.929561,1247428.096,9830.234905,7164.185497,22822.4136,32.9882894,10517.69772,41124.46924,,232515.2334,72.05339494
225,2.827636965,0.04240806,-0.146427527,0.173157065,,,,131.9457408,127.5029023,136.3723326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2.447836017,0.084984588,-0.282281649,0.137384344,,,,132.1242011,127.6071198,136.568119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,2.296963516,0.015325027,0.142354535,0.142141705,37.3297086,18.93162564,43.73866576,132.3012923,127.7381931,136.7206657,,,,,,,13.71992977,232.1433712,41659.06226,4.159693758,165.1008116,1100.284107,733.0172833,95.84030624,340.7569814,1026.092065,,4612.176528,0.995551956,14.31553886,242.2247864,43467.06855,43.40329777,172.2708909,1148.062927,764.836394,355.5535175,1070.617723,,4812.403613,1.038782072,329.9275858,5580.506371,1002052.05,3968.783251,26451.81006,17628.48919,23.05192571,8192.377843,24684.86572,,110908.6697,23.9343844
247,2.333228653,0.029766852,0.523475423,0.155557311,39.17866393,17.72176968,43.09956639,132.4457786,127.8383229,136.8131977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2.267505332,0.073560737,-0.237166927,0.160934102,,,,132.7247899,127.9938585,136.9753093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,2.409214745,0.041341423,-0.07892879,0.185044023,,,,132.8744747,128.1020156,137.0740321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2.5175513,0.03975082,-0.363260564,0.153248739,45.38967346,19.28843047,35.32189607,133.0385229,128.2064102,137.1503181,,,,,,,13.26158096,253.1616076,38757.83349,4.062227243,122.0088173,916.6010495,659.0357945,95.93777276,324.7987504,1044.416677,,5312.909263,0.905474408,13.8232049,263.8847598,40398.81395,42.34268194,127.1836276,955.4207324,686.9422367,338.5532647,1088.649946,,5537.885637,0.943825541,326.4733241,6231.303588,954363.8322,2999.273667,22563.80223,16226.09545,23.62189276,7996.23161,25710.01147,,130806.3246,22.28840279
272,2.447343671,0.049791953,-0.72184714,0.254137418,,,,133.1968627,128.3445629,137.2228505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,2.399913836,0.041910992,-0.115902702,0.096812055,,,,133.3782733,128.491662,137.3014243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2.488883268,0.037698253,0.147373356,0.147205751,,,,133.5462611,128.6062389,137.371899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,2.501851976,0.02890496,0.25123512,0.122939884,46.60191463,10.16210335,43.23598202,133.7062475,128.7428917,137.4427554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
